item_sku,fulfillment_loc,item_class,hstk_std_cost,P_f,sigma_demand_qty,F,H,L_t,sigma_LT,D,avg_margin_loss_intensity,avg_unit_margin_impact,S_score,item_specific_z,safety_stock_qty,Reorder_Point,total_safety_stock_value
SKU-0924,HREP,RRR : RRR Equipment,3162.75,1,6.164414003,0.007,1.29546184,7,1.75,0.1492537313,-1223.53,1223.53,0.3737243229,2.33,39,40.04477612,123347.25
SKU-0925,HREP,RRR : RRR Equipment,2743.1,1,4.949747468,0.004,0.9709505916,7,1.75,0.097,-921.0033333,921.0033333,0.3265356405,2.33,31,31.67910448,85036.1
SKU-0887,HREP,Diagnostic Tools : Smoke Diagnostics,1467.24,1,8.96288644,0.004,#####,7,1.75,0.1492537313,-359.1266667,359.1266667,0.236428779,1.96,47,48.04477612,68960.28
SKU-0933,HREP,RRR,3973.62,1,1.535298947,0.028,1.610498211,7,1.75,0.2462686567,-1020.67,970.6717391,0.3746619714,2.33,10,11.7238806,39736.2
SKU-0808,CREP,RRR,3299.45,1,1.130388331,0.01108374384,0.8904916373,14,3.5,0.1044776119,-1720.066667,1704.977778,0.3358088164,2.33,10,11.46268657,32994.5
SKU-0700,HSTK,RRR : RRR Equipment,4081.15,1,1.0,0.006,0.8524051758,7,1.75,0.045,-967.418,967.418,0.300381924,2.33,7,7.313432836,28568.05
SKU-0933,CSTK,RRR : RRR Equipment,4020.99,1,1.0,0.006,1.610498211,7,1.75,0.075,-2884.578,2884.578,0.4457793142,2.33,7,7.52238806,28146.93
SKU-1043,HSTK,Service Equipment : Vacuum Pumps,137.96,1,33.57791224,0.01,1.78992907,7,1.75,0.723880597,58.32375,-58.32375,0.4952739246,2.33,208,213.0671642,28695.68
SKU-0347,HSTK,RRR,719.59,1,6.363961031,0.002,0,7,1.75,0.082,707.66,-707.66,0.2386237823,1.96,34,34.57462687,24466.06
SKU-0415,CREP,Service Equipment : PM Equipment : PM With setup,2851.9,1,0.7071067812,0.002,1.819240697,14,3.5,0.0223880597,-2201.815,2201.815,0.434100584,2.33,7,7.313432836,19963.3
SKU-0838,HSTK,RRR : RRR Equipment,3730.7,1,0.5773502692,0.005,1.198117417,7,1.75,0.02985074627,-2052.5025,2052.5025,0.3731868918,2.33,4,4.208955224,14922.8
SKU-0796,HREP,Diagnostic Tools : Smoke Diagnostics,587.65,1,5.196152423,0.004,#####,7,1.75,0.09,-80.79333333,32.22,0.2067651125,1.96,27,27.62686567,15866.55
SKU-0935,CSTK,RRR : RRR Equipment,3307.52,1,0.7071067812,0.002,1.344730038,7,1.75,0.0223880597,-2151.31,2151.31,0.3902900389,2.33,5,5.156716418,16537.6
SKU-0714,HREP,RRR : RRR Equipment,2468.7,1,0.7071067812,0.002,1,7,1.75,0.0223880597,-1209.29,1209.29,0.321289683,2.33,5,5.156716418,12343.5
SKU-0838,HREP,RRR,4104.18,1,0.3535533906,0.01108374384,1.198117417,7,1.75,0.067,-2255.742222,2255.742222,0.3816159567,2.33,3,3.470149254,12312.54
SKU-0935,HREP,RRR : RRR Equipment,3298.27,1,0.4833407014,0.037,1.344730038,7,1.75,0.2388059701,-603.3016667,603.3016667,0.3319126937,2.33,4,5.671641791,13193.08
SKU-0938,HREP,RRR : RRR Equipment,4064.97,1,0.4484272031,0.032,1.558970208,7,1.75,0.2014925373,-2118.900769,2118.900769,0.4119398,2.33,3,4.41,12194.91
SKU-0926,HREP,RRR : RRR Equipment,3109.1,1,0.4472135955,0.007,1.685815703,7,1.75,0.045,-3043.325,3043.325,0.456613982,2.33,3,3.313432836,9327.3
SKU-0918,CREP,"Manifolds, Hoses, Accessories",117.33,1,8.497058314,0.006,1.360964043,14,3.5,0.1791044776,-181.318,181.318,0.3471467845,2.33,75,77.50746269,8799.75
SKU-0991,HREP,Instruments : Measurement & Test,45.07,1,30.74898372,0.006,#####,7,1.75,0.5597014925,-108.644,108.644,0.3262905902,2.33,190,193.9179104,8563.3
SKU-0700,HREP,RRR : RRR Equipment,3619.37,1,0.2886751346,0.016,0.8524051758,7,1.75,0.097,-1371.400769,1371.400769,0.3154872383,2.33,2,2.679104478,7238.74
SKU-0452,HREP,Service Equipment : Airlift,59.21,1,13.60233038,0.02339901478,0.6998578527,7,1.75,0.6567164179,-42.76842105,42.76842105,0.3097761834,2.33,84,88.59701493,4973.64
SKU-0932,HREP,"Manifolds, Hoses, Accessories : Manifolds",211.21,1,4.509249753,0.004,0.8112781216,7,1.75,0.1268656716,-59.71,59.71,0.2751111787,2.33,28,28.8880597,5913.88
SKU-0906,HREP,Service Equipment : Airlift,20.3,1,39.33174632,0.004,#####,7,1.75,1.447761194,-3.42,3.42,0.3608054474,2.33,243,253.1343284,4932.9
SKU-0193,HREP,Diagnostic Tools : Smoke Diagnostics,182.97,1,3.000556299,0.9926108374,0,7,1.75,6.014925373,167.76,-167.76,0.3792899774,2.33,31,73.1,5672.07
SKU-0904,HSTK,Instruments : AAB Smart Tools,183.83,1,6.087277311,0.01724137931,0,7,1.75,0.5373134328,160.97,-160.97,0.2175709245,1.96,32,35.76119403,5882.56
SKU-0415,HREP,Service Equipment : PM Equipment : PM With setup,2399.75,1,0.316227766,0.01354679803,1.819240697,7,1.75,0.082,-1175.687273,1175.687273,0.3921746996,2.33,2,2.574626866,4799.5
SKU-0800,HREP,Diagnostic Tools : Smoke Diagnostics,158.63,1,5.656854249,0.002,0.9182958312,7,1.75,0.075,-6.355,-6.355,0.287363771,2.33,35,35.52238806,5552.05
SKU-0757,HREP,RRR : RRR Replacement Part,17.87,1,39.33174632,0.004,1.825011205,7,1.75,2.91,-32.12666667,32.12666667,0.5225078254,2.33,243,263.3731343,4342.41
SKU-0460,HREP,Service Equipment : PM Equipment,784.64,1,1.154700538,0.004,0.8112781216,7,1.75,0.037,-128.1033333,128.1033333,0.2625674168,1.96,6,6.26119403,4707.84
