txn_date,txn_type,doc_num,created_by,customer_name,customer_category,ship_state,ship_zip,ship_method,ship_tier,fulfillment_loc,fulfillment_country,item_category,item_class,item_type,item_sku,item_rate,item_qty,memo_note,txn_amount,hstk_std_cost
2024-03-26,Credit Memo,DOC-000001,USER-11,CUSTOMER-053,13: Auto-OEM,,,,,HREP,,Automotive Diagnostic Tools,Diagnostic Tools : Smoke Diagnostics,Assembly/Bill of Materials,SKU-0887,2126.5,-17.0,,-31792.61,1458.95
2022-03-04,Credit Memo,DOC-000002,USER-11,CUSTOMER-212,10: Auto-Wholesale,TN,,LTL,Freight LTL,HFLD,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0416,2779.26,-7.0,,-17650.03,3247.25
2023-06-16,Credit Memo,DOC-000003,USER-11,CUSTOMER-340,10: Auto-Wholesale,KS,,,,HREP,,Automotive Parts,RRR : RRR Service Part,Assembly/Bill of Materials,SKU-0791,567.65,-15.0,,-7639.53,270.04
2025-01-16,Credit Memo,DOC-000004,USER-11,CUSTOMER-174,10: Auto-Wholesale,IN,,,,HREP,,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0925,3691.35,-10.0,,-32050.63,2581.09
2025-01-16,Credit Memo,DOC-000005,USER-11,CUSTOMER-174,10: Auto-Wholesale,IN,,,,HREP,,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0924,3996.93,-15.0,,-77523.22,3309.35
2022-12-08,Credit Memo,DOC-000006,USER-14,CUSTOMER-341,10: Auto-Wholesale,QC,,,,CREP,Canada,Automotive Service Tool Parts,Service Equipment : Recovery Machines,Assembly/Bill of Materials,SKU-1025,1803.05,-4.0,,-6423.92,1023.84
2023-07-06,Credit Memo,DOC-000007,USER-11,CUSTOMER-212,10: Auto-Wholesale,TN,,LTL,Freight LTL,HFLD,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0413,2745.38,-2.0,,-5699.42,2778.95
2022-12-16,Credit Memo,DOC-000008,USER-11,CUSTOMER-224,13: Auto-OEM,TN,,,,HREP,,Automotive Machine - RRR,RRR,Assembly/Bill of Materials,SKU-0921,5376.76,-1.0,,-4622.1,4235.03
2024-04-19,Credit Memo,DOC-000009,USER-11,CUSTOMER-228,10: Auto-Wholesale,,,,,HREP,,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0948,4399.35,-1.0,,-4247.62,3897.05
2023-05-16,Credit Memo,DOC-000010,USER-11,CUSTOMER-200,13: Auto-OEM,OH,,,,HREP,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0888,1830.55,-7.0,,-14083.14,1741.65
2022-03-04,Credit Memo,DOC-000011,USER-11,CUSTOMER-212,10: Auto-Wholesale,TN,,LTL,Freight LTL,HFLD,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0417,1716.31,-2.0,,-3787.85,2212.38
2023-05-16,Credit Memo,DOC-000012,USER-11,CUSTOMER-200,13: Auto-OEM,OH,,,,HREP,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0888,2096.12,-6.0,,-11301.42,1698.22
2023-12-06,Credit Memo,DOC-000013,USER-11,CUSTOMER-013,10: Auto-Wholesale,FL,,,,HREP,,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0715,3822.03,-1.0,,-4010.52,3191.75
2022-03-31,Credit Memo,DOC-000014,USER-11,CUSTOMER-009,10: Auto-Wholesale,WV,,LTL,Freight LTL,HFLD,,Automotive Machine - RRR,RRR,Assembly/Bill of Materials,SKU-0540,3350.81,-1.0,,-3366.69,3159.84
2023-01-30,Credit Memo,DOC-000015,USER-11,CUSTOMER-053,13: Auto-OEM,MN,,LTL,Freight LTL,HFLD,,Automotive Service Equipment,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0885,295.4,-50.0,,-15421.22,184.46
2024-05-10,Credit Memo,DOC-000016,USER-14,CUSTOMER-158,00: Internal Sales Reps,ON,,Call for Pick UP,,CREP,Canada,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0946,7712.64,-1.0,,-9574.14,3396.26
2022-04-29,Credit Memo,DOC-000017,USER-11,CUSTOMER-020,10: Auto-Wholesale,CO,,,,HREP,,Automotive Machine - RRR,RRR,Assembly/Bill of Materials,SKU-0841,6541.79,-1.0,,-6860.64,4286.07
2022-08-05,Credit Memo,DOC-000018,USER-11,CUSTOMER-122,10: Auto-Wholesale,MN,,,,HSTK,,Automotive Machine - RRR,RRR,Assembly/Bill of Materials,SKU-0841,5265.09,-1.0,,-6379.22,3642.89
2022-05-04,Credit Memo,DOC-000019,USER-14,CUSTOMER-235,10: Auto-Wholesale,ON,,,,CREP,Canada,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0411,2867.05,-1.0,,-2501.94,2294.95
2024-01-23,Credit Memo,DOC-000020,USER-11,CUSTOMER-300,11: Auto-Mobile,MS,,,,HREP,,Automotive Diagnostic Tools,Diagnostic Tools : Smoke Diagnostics,Assembly/Bill of Materials,SKU-0796,726.61,-10.0,,-5946.24,653.72
2024-06-04,Credit Memo,DOC-000021,USER-11,CUSTOMER-132,10: Auto-Wholesale,NC,,LTL,Freight LTL,HFLD,,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0925,4731.67,-3.0,,-12151.0,2396.41
2024-09-17,Credit Memo,DOC-000022,USER-11,CUSTOMER-049,12: Auto-Open,FL,,,,HREP,,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0946,4781.79,-1.0,,-5395.88,2931.12
2022-02-25,Credit Memo,DOC-000023,USER-14,CUSTOMER-316,15: Auto-Service Centers,ON,,,,CREP,Canada,Automotive Machine - RRR,RRR,Assembly/Bill of Materials,SKU-0716,6713.31,-2.0,,-12506.02,4081.58
2023-01-30,Credit Memo,DOC-000024,USER-11,CUSTOMER-053,13: Auto-OEM,MN,,LTL,Freight LTL,HFLD,,Automotive Service Equipment,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0885,335.94,-30.0,,-8558.0,192.36
2025-01-16,Credit Memo,DOC-000025,USER-11,CUSTOMER-224,13: Auto-OEM,TN,,,,HREP,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0422,1997.33,-2.0,,-3825.66,1907.5
2022-02-09,Credit Memo,DOC-000026,USER-11,CUSTOMER-027,10: Auto-Wholesale,MA,,,,HREP,United States,Automotive Machine - RRR,RRR,Assembly/Bill of Materials,SKU-0836,5279.34,-1.0,,-5280.48,3672.56
2023-12-07,Credit Memo,DOC-000027,USER-11,CUSTOMER-310,18: Heavy Duty,CA,,,,HREP,,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0714,3790.6,-2.0,,-7114.64,2229.03
2022-05-06,Credit Memo,DOC-000028,USER-11,CUSTOMER-156,10: Auto-Wholesale,TN,,,,HREP,,Automotive Machine - RRR,RRR,Assembly/Bill of Materials,SKU-0836,4458.99,-1.0,,-5859.39,4252.0
2024-03-15,Credit Memo,DOC-000029,USER-11,CUSTOMER-069,15: Auto-Service Centers,,,,,HREP,,Automotive Parts,RRR : RRR Service Part,Assembly/Bill of Materials,SKU-0857,492.06,-9.0,,-4812.31,135.49
2022-11-07,Credit Memo,DOC-000030,USER-11,CUSTOMER-228,10: Auto-Wholesale,OH,,,,HSTK,,Automotive Machine - RRR,RRR,Assembly/Bill of Materials,SKU-0836,5374.79,-1.0,,-4705.21,4620.6
2022-01-27,Credit Memo,DOC-000031,USER-11,CUSTOMER-224,13: Auto-OEM,TN,,,,HSTK,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0416,3039.06,-1.0,,-2820.22,2575.18
2022-04-06,Credit Memo,DOC-000032,USER-14,CUSTOMER-235,10: Auto-Wholesale,ON,,,,CREP,Canada,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0414,1571.64,-2.0,,-2663.22,
2024-06-04,Credit Memo,DOC-000033,USER-11,CUSTOMER-132,10: Auto-Wholesale,NC,,LTL,Freight LTL,HFLD,,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0924,5480.99,-3.0,,-18544.17,3774.65
2024-02-08,Credit Memo,DOC-000034,USER-11,CUSTOMER-053,13: Auto-OEM,MN,,,,HSTK,,Automotive Service Equipment,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0885,293.15,-21.0,,-7292.96,218.58
2022-12-14,Credit Memo,DOC-000035,USER-11,CUSTOMER-209,11: Auto-Mobile,TN,,,,HREP,,HVAC Diagnostic Tools,Instruments : Measurement & Test,Assembly/Bill of Materials,SKU-0991,141.2,-70.0,,-10249.52,54.59
2023-01-30,Credit Memo,DOC-000036,USER-11,CUSTOMER-053,13: Auto-OEM,MN,,LTL,Freight LTL,HFLD,,Automotive Service Equipment,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0885,272.51,-20.0,,-6174.34,240.56
2024-04-05,Credit Memo,DOC-000037,USER-14,CUSTOMER-235,10: Auto-Wholesale,AB,,,,CREP,Canada,Automotive Machine - RRR,RRR,Assembly/Bill of Materials,SKU-0808,4558.63,-4.0,,-19680.05,3345.51
2023-06-16,Credit Memo,DOC-000038,USER-11,CUSTOMER-340,10: Auto-Wholesale,KS,,,,HREP,,Automotive Diagnostic Tools,"Manifolds, Hoses, Accessories : Manifolds",Assembly/Bill of Materials,SKU-0930,389.98,-5.0,,-2002.28,123.26
2024-03-15,Credit Memo,DOC-000039,USER-11,CUSTOMER-069,15: Auto-Service Centers,,,,,HREP,,Automotive Parts,RRR,Assembly/Bill of Materials,SKU-0736,173.18,-9.0,,-1605.65,85.99
2022-11-28,Credit Memo,DOC-000040,USER-14,CUSTOMER-336,10: Auto-Wholesale,,,,,CREP,Canada,Automotive Machine - Fluid Service,Service Equipment : PM Equipment : PM With setup,Assembly/Bill of Materials,SKU-0420,1487.53,-1.0,,-1203.57,1004.62
2025-03-28,Credit Memo,DOC-000041,USER-02,CUSTOMER-134,00: Internal Sales Reps,,,,,HFLD,,HVAC Diagnostic Tools,Instruments : Digital Manifolds,Inventory Item,SKU-0239,9.5,-200.0,,-2148.63,16.31
2024-02-12,Credit Memo,DOC-000042,USER-11,CUSTOMER-053,13: Auto-OEM,MN,,,,HREP,,Automotive Diagnostic Tools,Diagnostic Tools : Smoke Diagnostics,Assembly/Bill of Materials,SKU-0887,2161.11,-2.0,,-3846.81,1757.5
2024-08-07,Credit Memo,DOC-000043,USER-11,CUSTOMER-291,10: Auto-Wholesale,MD,,,,HREP,,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0925,3604.27,-2.0,,-6783.86,2214.06
2025-02-03,Credit Memo,DOC-000044,USER-11,CUSTOMER-082,05: Auto Sales Reps,TX,,,,HREP,,Automotive Service Tool Parts,Service Equipment : Recovery Machines,Assembly/Bill of Materials,SKU-1028,1503.0,-1.0,,-1393.65,723.75
